ID,age,workclass,education,education.num,marital.status,occupation,relationship,race,Gender,capital.gain,capital.loss,hours.per.week,native.country,income,income_value
55,39,Private,Masters,14,Never-married,Sales,Not-in-family,White,M,0,2444,45,United-States,>50K,
56,32,Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,White,M,0,2444,50,United-States,>50K,
57,53,Private,Some-college,10,Separated,Craft-repair,Not-in-family,White,M,0,2444,45,United-States,>50K,
58,40,Local-gov,Some-college,10,Never-married,Protective-serv,Not-in-family,White,M,0,2444,40,United-States,>50K,
59,38,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,female,0,2444,45,United-States,>50K,
60,33,Private,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,M,0,2444,42,United-States,>50K,
61,43,Private,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,M,0,2444,70,United-States,>50K,
62,50,Self-emp-inc,11th,7,Never-married,Exec-managerial,Other-relative,White,M,0,2444,40,United-States,>50K,
63,44,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,female,0,2415,6,United-States,>50K,
64,51,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,M,0,2415,40,China,>50K,
65,41,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2415,40,United-States,>50K,
66,60,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,M,0,2415,70,?,>50K,
67,37,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2415,60,United-States,>50K,
68,55,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2415,35,Greece,>50K,
69,39,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,M,0,2415,60,United-States,>50K,
70,42,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2415,60,United-States,>50K,
71,49,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,M,0,2415,55,United-States,>50K,
72,47,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2415,50,United-States,>50K,
73,41,Local-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2415,45,United-States,>50K,
74,55,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2415,50,United-States,>50K,
75,39,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,female,0,2415,65,United-States,>50K,
76,42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2415,60,United-States,>50K,
77,41,?,Assoc-voc,11,Married-civ-spouse,?,Husband,White,M,0,2415,12,United-States,>50K,
78,46,Private,Masters,14,Married-civ-spouse,Sales,Husband,White,M,0,2415,65,United-States,>50K,
79,40,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2415,45,United-States,>50K,
80,32,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2415,48,United-States,>50K,
81,41,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2415,55,United-States,>50K,
82,60,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2415,80,United-States,>50K,
83,31,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2415,70,Taiwan,>50K,
84,58,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,M,0,2415,40,United-States,>50K,
85,37,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,M,0,2415,50,United-States,>50K,
86,44,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2415,50,United-States,>50K,
87,39,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2415,50,?,>50K,
88,43,Federal-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,M,0,2415,55,?,>50K,
89,55,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2415,50,United-States,>50K,
90,44,Self-emp-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2415,55,United-States,>50K,
91,39,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,M,0,2415,67,India,>50K,
92,46,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,M,0,2415,40,United-States,>50K,
93,39,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,M,0,2415,99,United-States,>50K,
94,62,Self-emp-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,M,0,2415,60,United-States,>50K,
95,31,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,female,0,2415,40,United-States,>50K,
96,46,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,M,0,2415,35,Philippines,>50K,
97,46,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2415,80,United-States,>50K,
98,39,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,M,0,2415,40,United-States,>50K,
99,39,Private,Prof-school,15,Married-civ-spouse,Sales,Husband,White,M,0,2415,99,United-States,>50K,
100,59,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2415,45,United-States,>50K,
101,50,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2415,60,United-States,>50K,
102,46,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2415,55,United-States,>50K,
103,53,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2415,40,United-States,>50K,
104,50,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2415,30,United-States,>50K,
105,41,Self-emp-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Wife,White,female,0,2415,55,United-States,>50K,
106,36,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,M,0,2415,45,United-States,>50K,
107,38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2415,90,United-States,>50K,
108,54,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,M,0,2415,50,United-States,>50K,
109,50,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,female,0,2415,20,United-States,>50K,
110,47,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2415,60,United-States,>50K,
111,47,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2415,45,United-States,>50K,
112,67,Private,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,M,0,2392,40,United-States,>50K,
113,67,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2392,75,United-States,>50K,
114,72,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2392,25,United-States,>50K,
115,72,?,Doctorate,16,Married-civ-spouse,?,Husband,White,M,0,2392,6,United-States,>50K,
116,46,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2392,50,United-States,>50K,
117,78,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2392,40,United-States,>50K,
118,71,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2392,60,United-States,>50K,
119,83,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2392,55,United-States,>50K,
120,68,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2392,40,United-States,>50K,
121,26,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,M,0,2377,45,United-States,<=50K,6411
122,68,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2377,60,United-States,>50K,
123,49,Self-emp-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,female,0,2377,40,United-States,>50K,
124,36,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2377,60,United-States,<=50K,2647
125,70,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,M,0,2377,12,United-States,>50K,
126,27,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,female,0,2377,20,United-States,<=50K,150
127,35,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2377,40,United-States,<=50K,8387
128,23,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,M,0,2377,40,United-States,<=50K,2406
129,81,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2377,26,United-States,>50K,
130,66,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Sales,Husband,White,M,0,2377,25,United-States,>50K,
131,71,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,45,United-States,>50K,
132,68,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,2377,55,United-States,>50K,
133,68,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,42,?,>50K,
134,65,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,2377,40,United-States,>50K,
135,52,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,0,2377,40,United-States,<=50K,5600
136,40,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,50,United-States,<=50K,5587
137,68,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,2377,35,United-States,>50K,
138,21,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,48,United-States,<=50K,9048
139,35,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,40,United-States,<=50K,3940
140,70,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,50,United-States,>50K,
141,61,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,50,United-States,<=50K,4574
142,65,Self-emp-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,65,United-States,<=50K,685
143,46,Private,5th-6th,3,Divorced,Craft-repair,Not-in-family,White,female,0,2339,45,United-States,<=50K,6631
144,26,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,55,United-States,<=50K,3387
145,59,Local-gov,HS-grad,9,Widowed,Farming-fishing,Unmarried,White,Male,0,2339,40,United-States,<=50K,2681
146,61,Private,5th-6th,3,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2339,40,United-States,<=50K,9134
147,60,State-gov,Bachelors,13,Divorced,"Prof-,specialty",Not-in-family,White,female,0,2339,40,United-States,<=50K,7502
148,49,Self-emp-inc,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,2339,50,United-States,<=50K,6069
149,34,Private,Bachelors,13,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,2339,40,?,<=50K,7534
150,25,Private,Bachelors,13,Never-married,"Prof-,specialty",Own-child,White,female,0,2339,35,United-States,<=50K,2194
151,55,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,female,0,2339,45,?,<=50K,4276
152,59,Local-gov,HS-grad,9,Separated,Protective-serv,Other-relative,Black,female,0,2339,40,United-States,<=50K,2191
153,28,State-gov,Some-college,10,Separated,Exec-managerial,Own-child,White,Male,0,2339,40,United-States,<=50K,477
154,43,?,Assoc-voc,11,Widowed,?,Not-in-family,White,female,0,2339,36,United-States,<=50K,5869
155,56,Self-emp-not-inc,Masters,14,Divorced,Sales,Unmarried,White,female,0,2339,60,United-States,<=50K,64
156,41,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2339,40,United-States,<=50K,6421
157,42,Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,female,0,2339,40,Trinadad&Tobago,<=50K,3190
158,28,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,40,Canada,<=50K,1374
159,40,Self-emp-not-inc,Prof-school,15,Divorced,Other-service,Not-in-family,White,female,0,2339,35,United-States,<=50K,4197
160,69,Private,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Male,0,2282,40,United-States,>50K,
161,66,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2267,40,United-States,<=50K,1944
162,69,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,M,0,2267,40,United-States,<=50K,8783
163,55,Local-gov,Masters,14,Married-civ-spouse,"Prof-,specialty",Wife,White,female,0,2267,40,United-States,<=50K,2910
164,57,Federal-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,M,0,2258,40,United-States,<=50K,9963
165,20,Self-emp-not-inc,Some-college,10,Never-married,Farming-fishing,Own-child,White,M,0,2258,10,United-States,<=50K,3698
166,33,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,M,0,2258,84,United-States,<=50K,3595
167,30,Self-emp-not-inc,Some-college,10,Never-married,Sales,Other-relative,Asian-Pac-Islander,M,0,2258,40,South,<=50K,1456
168,40,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,female,0,2258,48,Philippines,<=50K,7650
169,38,Private,Some-college,10,Separated,Machine-op-inspct,Not-in-family,White,M,0,2258,55,United-States,>50K,
170,46,State-gov,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,M,0,2258,38,United-States,>50K,
171,29,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,female,0,2258,45,United-States,>50K,
172,57,Federal-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,M,0,2258,40,United-States,<=50K,136
173,39,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,M,0,2258,42,United-States,>50K,
174,47,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,M,0,2258,40,United-States,>50K,
175,26,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,M,0,2258,45,United-States,>50K,
176,27,Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,M,0,2258,50,United-States,<=50K,1956
177,23,Private,Bachelors,13,Never-married,"Prof-,specialty",Own-child,White,female,0,2258,40,United-States,>50K,
178,34,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,M,0,2258,50,United-States,<=50K,8414
179,33,Private,12th,8,Divorced,Craft-repair,Not-in-family,White,M,0,2258,42,United-States,<=50K,6738
180,38,Local-gov,Masters,14,Never-married,"Prof-,specialty",Not-in-family,White,female,0,2258,60,United-States,<=50K,9225
181,57,Private,Some-college,10,Widowed,Adm-clerical,Unmarried,White,female,0,2258,38,United-States,>50K,
182,36,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,M,0,2258,70,United-States,<=50K,6726
183,44,Federal-gov,Bachelors,13,Divorced,Tech-support,Not-in-family,White,M,0,2258,40,United-States,>50K,
184,49,State-gov,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,female,0,2258,50,United-States,>50K,
185,44,Self-emp-inc,Some-college,10,Never-married,Sales,Not-in-family,White,M,0,2258,60,United-States,<=50K,2796
186,55,Private,Some-college,10,Widowed,Farming-fishing,Not-in-family,White,M,0,2258,62,United-States,>50K,
187,45,Private,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,M,0,2258,44,United-States,>50K,
188,48,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,female,0,2258,40,United-States,>50K,
189,31,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2246,45,United-States,>50K,
190,55,Local-gov,HS-grad,9,Married-civ-spouse,"Prof-,specialty",Other-relative,White,female,0,2246,40,United-States,>50K,
191,70,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2246,40,United-States,>50K,
192,70,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2246,8,United-States,>50K,
193,73,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2246,40,United-States,>50K,
194,72,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2246,28,United-States,>50K,
195,31,Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,White,female,0,2238,40,United-States,<=50K,9821
196,28,Private,10th,6,Widowed,Adm-clerical,Unmarried,White,female,0,2238,35,United-States,<=50K,6723
197,23,Self-emp-not-inc,Bachelors,13,Never-married,Adm-clerical,Own-child,White,M,0,2231,40,United-States,>50K,
198,49,Local-gov,9th,5,Widowed,Handlers-cleaners,Unmarried,White,M,0,2231,40,United-States,>50K,
199,27,Local-gov,Some-college,10,Never-married,Protective-serv,Not-in-family,White,M,0,2231,40,United-States,>50K,
200,90,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,M,0,2206,40,United-States,<=50K,2064
201,68,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,female,0,2206,30,United-States,<=50K,6867
202,65,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,female,0,2206,59,Canada,<=50K,3734
203,65,?,HS-grad,9,Widowed,?,Unmarried,White,female,0,2206,10,United-States,<=50K,4596
204,67,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,female,0,2206,5,United-States,<=50K,8119
205,66,Local-gov,Bachelors,13,Widowed,"Prof-,specialty",Not-in-family,Black,female,0,2206,25,United-States,<=50K,7419
206,24,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,M,0,2205,24,United-States,<=50K,7507
207,44,Self-emp-not-inc,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,M,0,2205,35,United-States,<=50K,6650
208,35,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,female,0,2205,40,United-States,<=50K,6700
209,20,Private,Assoc-acdm,12,Never-married,Other-service,Own-child,White,female,0,2205,18,United-States,<=50K,8737
210,38,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,M,0,2205,40,United-States,<=50K,5612
211,39,Private,Some-college,10,Never-married,Other-service,Own-child,Black,female,0,2205,40,United-States,<=50K,5909
212,32,Private,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,female,0,2205,40,Holand-Netherlands,<=50K,934
213,42,Private,7th-8th,4,Never-married,Handlers-cleaners,Not-in-family,Black,M,0,2205,40,United-States,<=50K,6401
214,63,?,HS-grad,9,Divorced,?,Not-in-family,White,female,0,2205,40,United-States,<=50K,107
215,42,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,M,0,2201,60,India,>50K,
216,64,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,M,0,2179,40,United-States,<=50K,8027
217,28,Private,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,M,0,2179,40,Puerto-Rico,<=50K,6442
218,41,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Other,M,0,2179,84,Mexico,<=50K,9876
219,41,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,M,0,2179,40,United-States,<=50K,4229
220,58,Self-emp-not-inc,1st-4th,2,Married-civ-spouse,Transport-moving,Husband,White,M,0,2179,18,United-States,<=50K,3961
221,59,State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2179,40,United-States,<=50K,7795
222,34,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,female,0,2179,12,United-States,<=50K,7688
223,45,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,M,0,2179,45,United-States,<=50K,9246
224,29,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,female,0,2179,40,United-States,<=50K,5759
225,47,Private,10th,6,Married-civ-spouse,Sales,Husband,White,M,0,2179,52,United-States,<=50K,9072
226,40,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,M,0,2179,40,United-States,<=50K,6412
227,47,Self-emp-not-inc,5th-6th,3,Married-civ-spouse,Sales,Husband,White,M,0,2179,50,Mexico,<=50K,8965
228,63,?,Bachelors,13,Married-civ-spouse,?,Husband,White,M,0,2179,45,United-States,<=50K,2351
229,41,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,M,0,2179,40,United-States,<=50K,9820
230,34,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,M,0,2179,40,United-States,<=50K,367
231,66,?,Bachelors,13,Married-civ-spouse,?,Husband,White,M,0,2174,40,United-States,>50K,
232,65,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,M,0,2174,10,United-States,>50K,
233,70,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,M,0,2174,40,United-States,>50K,
234,75,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M,0,2174,50,United-States,>50K,
235,65,State-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,M,0,2174,40,United-States,>50K,
236,65,Federal-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,M,0,2174,40,United-States,>50K,
